"variable","outcome_group","n","mean","sd","min","max","best_distribution","parameters","BIC"
"hormone1",0,988,1.82377912867275,1.57991019715845,0.05,26.1,"lognormal","meanlog = 0.4046; sdlog = 0.6088",2634.00390771991
"hormone1",1,161,1.658125,0.86245750054804,0.3,5.5,"lognormal","meanlog = 0.3826; sdlog = 0.5037",367.176265170086
"hormone2",0,988,375.147922998987,255.410877672249,31,2798,"lognormal","meanlog = 5.7675; sdlog = 0.5457",13004.1774545545
"hormone2",1,161,411.95625,270.885697235903,77,2630,"lognormal","meanlog = 5.8815; sdlog = 0.5102",2130.94401685643
"hormone3",0,988,8.99088145896657,11.5823481634267,0,118.4,"normal","mean = 8.9909; sd = 11.5765",7649.05141791313
"hormone3",1,161,9.910625,11.7903734150915,0.1,91.2,"lognormal","meanlog = 1.872; sdlog = 0.9014",1030.05618511577
"hormone4",0,988,7.50770010131712,10.9218764352731,0.1,131.4,"lognormal","meanlog = 1.7024; sdlog = 0.6864",5432.53923549204
"hormone4",1,161,9.40125,13.435599887598,1.5,90,"lognormal","meanlog = 1.842; sdlog = 0.759",965.406513450147
"hormone5",0,988,335.607638297872,332.255049832313,0,5686.811,"normal","mean = 335.6076; sd = 332.0867",14274.6258151336
"hormone5",1,161,276.44851875,235.444634137947,0,2264.758,"normal","mean = 276.4485; sd = 234.7077",2210.8797918904
"hormone6",0,988,78.8897568389058,53.9886227303693,0.76,375.2,"gamma","shape = 2.4737; rate = 0.0314",10249.5265780282
"hormone6",1,161,75.754375,48.6841221993773,4.4,283.1,"gamma","shape = 2.5608; rate = 0.0338",1652.69802494486
"hormone7",0,988,5.62522796352584,3.89884804120212,0,47.1,"normal","mean = 5.6252; sd = 3.8969",5499.75805908177
"hormone7",1,161,5.65,3.96964900306654,0.2,34.7,"gamma","shape = 2.1142; rate = 0.3742",841.909131151852
"hormone8",0,988,180.020364741641,87.2303239271923,16.3,558,"gamma","shape = 4.4704; rate = 0.0248",11432.2657418832
"hormone8",1,161,153.7625,70.9638102027404,20.7,384,"gamma","shape = 4.6658; rate = 0.0303",1804.98555630407
"hormone10_generated",0,988,0.761721655894864,8.29828563519786,0.077,261,"lognormal","meanlog = -0.8698; sdlog = 0.6399",216.567107917138
"hormone10_generated",1,161,0.508252504512635,0.36564639137398,0.077,2.971,"lognormal","meanlog = -0.872; sdlog = 0.6332",38.9624538656401
"lipids1",0,988,0.957304964539007,0.387210902700395,0.2,2.73,"gamma","shape = 6.2797; rate = 6.5598",806.175940825295
"lipids1",1,161,0.984625,0.370435554449084,0.27,2.19,"gamma","shape = 6.7761; rate = 6.8819",136.777145917169
"lipids2",0,988,4.46140830800405,0.910692368872158,2.43,8.82,"lognormal","meanlog = 1.4755; sdlog = 0.1989",2539.44737905229
"lipids2",1,161,4.7635625,0.962299621795061,3.08,8.4,"lognormal","meanlog = 1.5418; sdlog = 0.194",432.811622618288
"lipids3",0,988,1.10424518743668,0.276740138256729,0.41,2.01,"gamma","shape = 16.1935; rate = 14.6648",220.852955044233
"lipids3",1,161,1.115,0.266455891543731,0.62,2,"lognormal","meanlog = 0.0811; sdlog = 0.236",28.0580505459731
"lipids4",0,988,2.92795339412361,0.874513058280767,0.82,7.01,"gamma","shape = 11.6322; rate = 3.9728",2455.7763068417
"lipids4",1,161,3.1979375,0.944966870322071,1.36,6.59,"lognormal","meanlog = 1.1204; sdlog = 0.2907",427.386605637918
"сarb_metabolism",0,988,4.89506585612969,0.806569546151011,3.13,11.5,"lognormal","meanlog = 1.5756; sdlog = 0.1572",2272.48392939118
"сarb_metabolism",1,161,4.8600625,0.707654018504566,3.04,6.59,"gamma","shape = 47.1674; rate = 9.7051",352.512315841601
"lipid_pero1",0,988,2.06821681864235,0.803365803479091,0.5,5.02,"gamma","shape = 6.575; rate = 3.179",2286.52215042826
"lipid_pero1",1,161,2.1810625,0.83561870037798,0.6,4.4,"gamma","shape = 6.5534; rate = 3.0047",396.045856482541
"lipid_pero2",0,988,1.38390070921986,0.569733294307519,0.12,3.7,"gamma","shape = 5.871; rate = 4.2424",1592.18593318991
"lipid_pero2",1,161,1.4482875,0.616235103663708,0.22,3.26,"gamma","shape = 5.455; rate = 3.7665",290.818708179289
"lipid_pero3",0,988,0.68161094224924,0.373884193384397,0.07,1.93,"gamma","shape = 3.4886; rate = 5.1182",622.361450503028
"lipid_pero3",1,161,0.75525,0.421248443999888,0.09,1.75,"gamma","shape = 3.1484; rate = 4.1688",154.226535402042
"lipid_pero4",0,988,1.43188449848024,0.80264806083785,0.23,12.4,"lognormal","meanlog = 0.2359; sdlog = 0.5042",1928.5948099052
"lipid_pero4",1,161,1.49525,0.706444681521713,0.26,3.66,"gamma","shape = 4.4987; rate = 3.0087",327.277291873952
"lipid_pero5",0,988,11.8791691995947,3.60867294228853,4.04,27.8,"gamma","shape = 10.5089; rate = 0.8846",5314.24772046289
"lipid_pero5",1,161,11.7644375,3.28265955737937,1.75,18.55,"normal","mean = 11.7644; sd = 3.2724",843.576799215961
"antioxidant1",0,988,1.62109422492401,0.189156390851275,1.07,2.43,"normal","mean = 1.6211; sd = 0.1891",-473.294075152784
"antioxidant1",1,161,1.6220625,0.163956954294825,1.18,2.01,"normal","mean = 1.6221; sd = 0.1634",-115.400894841337
"antioxidant2",0,988,2.34646403242148,0.465938777844189,1.18,3.82,"lognormal","meanlog = 0.8334; sdlog = 0.1981",1263.79179464284
"antioxidant2",1,161,2.3005,0.448193859673531,1.54,3.76,"lognormal","meanlog = 0.8147; sdlog = 0.1912",195.492283256804
"antioxidant3",0,988,1.97630192502533,0.369307781327759,0.94,3.59,"gamma","shape = 28.2709; rate = 14.305",837.642355993998
"antioxidant3",1,161,1.94775,0.356525775969729,0.97,3.1,"gamma","shape = 29.8459; rate = 15.3233",130.316118505621
"antioxidant4",0,988,7.73222897669706,3.14639813007709,0,25,"normal","mean = 7.7322; sd = 3.1448",5076.48747631279
"antioxidant4",1,161,8.5661875,3.11654801614698,3.26,19.29,"gamma","shape = 7.6543; rate = 0.8936",811.473655493046
"antioxidant5",0,988,0.680354609929078,0.290754031061696,0.23,2.04,"lognormal","meanlog = -0.4665; sdlog = 0.3974",72.3023545091055
"antioxidant5",1,161,0.763625,0.287484180587472,0.26,1.98,"lognormal","meanlog = -0.334; sdlog = 0.3562",27.0191271907601
"factor_eth",0,988,1.44984802431611,0.660588186185491,1,3,"lognormal","meanlog = 0.2847; sdlog = 0.3978",1557.21585209328
"factor_eth",1,161,1.525,0.643789879390032,1,3,"lognormal","meanlog = 0.3405; sdlog = 0.3953",276.191890160119
"factor_h",0,988,0.202051282051282,0.401736346156659,0,1,"normal","mean = 0.2021; sd = 0.4015",1001.37394283878
"factor_h",1,161,0.144654088050314,0.352863117352342,0,1,"normal","mean = 0.1447; sd = 0.3518",129.10443282226
