"variable","outcome_group","n","mean","sd","min","max","best_distribution","parameters","BIC"
"hormone1",0,740,1.89454054054054,1.73897460328916,0.05,26.1,"lognormal","meanlog = 0.4258; sdlog = 0.6295",2058.57107336058
"hormone1",1,132,1.61287878787879,0.797266829492615,0.3,5.2,"gamma","shape = 4.5208; rate = 2.8029",290.848452265096
"hormone2",0,740,386.178378378378,259.988660245201,31,2798,"lognormal","meanlog = 5.7991; sdlog = 0.5435",9793.55923729993
"hormone2",1,132,422.257575757576,285.195115243869,77,2630,"lognormal","meanlog = 5.9049; sdlog = 0.5082",1764.57563086943
"hormone3",0,740,9.03216216216216,11.9903747223257,0.1,118.4,"lognormal","meanlog = 1.7422; sdlog = 0.9138",4558.39325679918
"hormone3",1,132,9.69924242424242,11.5932561089608,0.1,91.2,"lognormal","meanlog = 1.8442; sdlog = 0.9166",848.239789174319
"hormone4",0,740,7.76783783783784,12.1865514364864,0.2,131.4,"lognormal","meanlog = 1.6966; sdlog = 0.7101",4117.62273711721
"hormone4",1,132,9.65530303030303,14.5753284927246,1.5,90,"lognormal","meanlog = 1.818; sdlog = 0.7998",805.341866689368
"hormone5",0,740,333.619867567568,359.859271917209,0,5686.811,"normal","mean = 333.6199; sd = 359.616",10823.0969578816
"hormone5",1,132,284.372439393939,252.031075723854,0,2264.758,"normal","mean = 284.3724; sd = 251.0746",1843.16340210845
"hormone6",0,740,80.3624189189189,54.7267806358897,0.76,350.4,"gamma","shape = 2.4232; rate = 0.0302",7725.01593913238
"hormone6",1,132,75.9484848484849,50.0697825784952,4.4,283.1,"gamma","shape = 2.4746; rate = 0.0326",1368.61527542042
"hormone7",0,740,6.10851351351351,4.07482059425008,0,47.1,"normal","mean = 6.1085; sd = 4.0721",4191.38519849398
"hormone7",1,132,6.03484848484849,4.0938230298547,0.2,34.7,"gamma","shape = 2.3251; rate = 0.3853",705.476655738789
"hormone8",0,740,179.650810810811,86.6585495362772,33,558,"gamma","shape = 4.5875; rate = 0.0255",8555.13638709259
"hormone8",1,132,151.377272727273,72.2567629005868,20.7,384,"gamma","shape = 4.4449; rate = 0.0294",1491.73634083576
